,City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category,ParentCategory
12,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4ca78f21b0b8236a4cc0aae6,Rio Coura,38.710248113086934,-9.132080400936946,Seafood Restaurant,Food
13,LISBOA,Santo António,38.753609948929586,-9.143020003895094,4d3054a5f986a0939d75fb66,Novo Dia,38.75384603549956,-9.14186872036378,Seafood Restaurant,Food
14,LISBOA,São Vicente,38.72365503033666,-9.12966982265255,4f89e174e4b00a6262549ad1,Penalva da Graça,38.72072213268061,-9.130069805080755,Seafood Restaurant,Food
15,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,50a6b0d2e4b0060f45aa9ff8,Radio Hotel,38.70059608052115,-9.180994514341114,Lounge,Nightlife Spot
16,LISBOA,Alcântara,38.70505500000006,-9.180970999999971,50a6b0d2e4b0060f45aa9ff8,Radio Hotel,38.70059608052115,-9.180994514341114,Lounge,Nightlife Spot
17,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949,4dd64819d1647fcf3e2ce92b,24th Floor Club Lounge - Sheraton Lisboa Hotel And Spa,38.731614128241695,-9.147150555687901,Lounge,Nightlife Spot
18,BRAGA,Braga,41.549397000000056,-8.421888499999966,4b9f9dfcf964a520352f37e3,Astória Restaurante,41.55164421885267,-8.423426103770657,Lounge,Nightlife Spot
19,BRAGA,Braga,41.55493200000005,-8.420736499999947,4b9f9dfcf964a520352f37e3,Astória Restaurante,41.55164421885267,-8.423426103770657,Lounge,Nightlife Spot
20,LISBOA,Estrela,38.71006800000005,-9.159096499999947,4dca929952b1c2222a8598a6,Wanli,38.70788246013324,-9.154794976794518,Lounge,Nightlife Spot
21,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,564e0f39498ec26321ee771c,Double 9 Lisbon,38.712361562797575,-9.14298858599295,Lounge,Nightlife Spot
22,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,5796618d498e76623af61aa6,Topo | Chiado,38.71248087470108,-9.139901138433478,Lounge,Nightlife Spot
23,LISBOA,Parque das Nações,38.76833000000005,-9.097789999999975,598cb26efdb9a7339ca2eb60,Sky Bar Tivoli,38.766531321379844,-9.098157968305602,Lounge,Nightlife Spot
24,LISBOA,Parque das Nações,38.76833000000005,-9.097789999999975,4df7f8c77d8bc475406eb52d,Arena Lounge,38.76476338673546,-9.096520366511891,Lounge,Nightlife Spot
25,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4c9e82f3542b224b55f7f49f,Caximbar,38.71207906236558,-9.134503225736266,Lounge,Nightlife Spot
26,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,559d68dc498e04a96af7621f,Passaporte Lounge Terrace,40.20709393450755,-8.428828304292882,Lounge,Nightlife Spot
27,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,503a7708e4b03fdd893f1611,Clube de Padel,38.699101493528325,-9.179036258481096,Athletics & Sports,Outdoors & Recreation
28,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,59cfa1da0802d4576314634e,Experiência Pilar 7 - Ponte 25 de Abril,38.70041596957411,-9.178905745723942,Museum,Arts & Entertainment
29,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4beedbe75e7b9c74d316b58d,Museu da Carris,38.70201394645187,-9.180152512578518,Museum,Arts & Entertainment
30,LISBOA,Alcântara,38.70505500000006,-9.180970999999971,4beedbe75e7b9c74d316b58d,Museu da Carris,38.70201394645187,-9.180152512578518,Museum,Arts & Entertainment
31,LISBOA,Beato,38.72629500000005,-9.111918499999973,4b0588a3f964a5208fd122e3,Museu Nacional do Azulejo,38.724991205346406,-9.114029686579029,Museum,Arts & Entertainment
32,LISBOA,Belém,38.69768400000005,-9.204393499999952,57d97221498e9736925ea867,Museu De Marinha,38.698025,-9.207775,Museum,Arts & Entertainment
33,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,4d84c9049324236ae48ac00e,CPF Centro Português de Fotografia,41.144546,-8.615796,Museum,Arts & Entertainment
34,LISBOA,Estrela,38.71006800000005,-9.159096499999947,4b0588a3f964a52091d122e3,Museu da Marioneta,38.707863,-9.155814,Museum,Arts & Entertainment
35,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4be6ff912468c928a8f00143,Museu do Teatro Romano,38.710562208300594,-9.13218096703701,Museum,Arts & Entertainment
36,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4b0588a2f964a52011d122e3,Casa dos Bicos,38.70893562602348,-9.132738505172293,Museum,Arts & Entertainment
37,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,5059fb6ee4b07f6faf00cb1f,Village Underground,38.700861372222725,-9.17814989788558,Café,Food
38,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,55d06e31498ee45205d9bfd1,Wish - Slow Coffee House,38.702839545501355,-9.17861237905379,Café,Food
39,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4ddd5abfb3ad59fcbc58c0bc,Café Dias,38.702917,-9.184385,Café,Food
40,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,57472772498e8320e07c253a,chef nino,38.703059,-9.178802,Café,Food
41,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4f928074e4b0f888dc7468cd,Loja,38.70376681404509,-9.182180492616599,Café,Food
42,LISBOA,Alcântara,38.70505500000006,-9.180970999999971,55d06e31498ee45205d9bfd1,Wish - Slow Coffee House,38.702839545501355,-9.17861237905379,Café,Food
43,LISBOA,Alcântara,38.70505500000006,-9.180970999999971,4ddd5abfb3ad59fcbc58c0bc,Café Dias,38.702917,-9.184385,Café,Food
44,LISBOA,Alcântara,38.70505500000006,-9.180970999999971,57472772498e8320e07c253a,chef nino,38.703059,-9.178802,Café,Food
45,AVEIRO,Aradas,40.62432421672654,-8.643783571576646,4e67b80414952e0a13032c4b,Delta Café,40.62663331028913,-8.64485290207634,Café,Food
46,LISBOA,Areeiro,38.74400000000003,-9.132159999999942,4b5c1048f964a520e52229e3,Pastelaria Madrid,38.743600608439095,-9.135562599862668,Café,Food
47,LISBOA,Areeiro,38.74400000000003,-9.132159999999942,4cc6ec79306e224be572ab6c,Café da Praça,38.742055818207234,-9.133518755165417,Café,Food
48,LISBOA,Areeiro,38.74400000000003,-9.132159999999942,4df9d0e314959516a962efb0,Blue for Coffee Areeiro,38.74226158463976,-9.13437084894548,Café,Food
49,BRAGA,Arentim e Cunha,41.4850436413018,-8.513036315376185,534eda3d498e193efb09a99b,Piaget,41.486117,-8.516705,Café,Food
50,BRAGA,Arentim e Cunha,41.4850436413018,-8.513036315376185,4fdcfc17e4b0654045b88ba8,Café Divino's,41.487431723125276,-8.510315178111359,Café,Food
51,LISBOA,Arroios,38.72238900000005,-9.132703999999961,51952f47498e232ed961c8ef,Brick Cafe,38.72486742524193,-9.133124203203737,Café,Food
52,LISBOA,Arroios,38.72238900000005,-9.132703999999961,5012f8b3e4b0260c4174ec82,O das Joanas,38.72117884550267,-9.134857676281499,Café,Food
53,LISBOA,Arroios,38.72238900000005,-9.132703999999961,52a4869c11d202d392116e6b,Largo Café,38.720870505467516,-9.134942932125298,Café,Food
54,LISBOA,Arroios,38.72238900000005,-9.132703999999961,4cf66d2871538cfa7e49b52e,Café Esplanada do Miradouro do Monte Agudo,38.726285737182586,-9.131437471531028,Café,Food
55,LISBOA,Arroios,38.72238900000005,-9.132703999999961,516f114fe4b0afd5130d3cce,Zona Franca dos Anjos,38.72647952920865,-9.13289524237001,Café,Food
56,LISBOA,Arroios,38.72238900000005,-9.132703999999961,4d90b4d4788c5481ae576afd,Capri,38.72286144044579,-9.13528160763909,Café,Food
57,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949,4ccbf718c9b84688ef49b9c3,Casa Mourisca,38.73001891862279,-9.147229186607294,Café,Food
58,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949,4b0e3000f964a520bc5523e3,Linha d'Água,38.73201998331229,-9.15472779961528,Café,Food
59,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949,4d94768c14a65481fe27114c,Quiosque do Coreto,38.730082635740814,-9.144091947543382,Café,Food
60,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949,4bf3d57394af2d7f3fd63972,Delta Q,38.73255278043146,-9.144574670447854,Café,Food
61,LISBOA,Beato,38.72629500000005,-9.111918499999973,572f69d6498e72a5642867b5,Orquidea,38.724743,-9.116676,Café,Food
62,LISBOA,Belém,38.69768400000005,-9.204393499999952,568971d9498e4689958cbe1a,Jeronymo,38.69731631236926,-9.202445371166075,Café,Food
63,LISBOA,Belém,38.69768400000005,-9.204393499999952,4f1af862e4b083823199163d,Pastéis de Cerveja,38.697231139931404,-9.20196113528588,Café,Food
64,LISBOA,Benfica,38.750410251295335,-9.210688043341369,4c9dee7846978cfacc249c7f,Pastelaria Fim de Século,38.750194,-9.207856,Café,Food
65,LISBOA,Benfica,38.750410251295335,-9.210688043341369,4de67d917d8b53987c625361,Scala,38.753285991017066,-9.210866360373027,Café,Food
66,LISBOA,Benfica,38.750410251295335,-9.210688043341369,4d907d74cb9b224b6bacb041,Monalisa,38.75196949456823,-9.205919997760324,Café,Food
67,PORTO,Bonfim,41.1483662979302,-8.598389364247119,4ff43279e4b021ccc6572d3d,Duas de Letra,41.146406,-8.602198,Café,Food
68,PORTO,Bonfim,41.1483662979302,-8.598389364247119,4df8a05ffa76e4d6e216dc2b,Confeitaria Chicana,41.146017795547806,-8.596731621536245,Café,Food
69,PORTO,Bonfim,41.1483662979302,-8.598389364247119,52de66f1498e4a1703b568eb,Quanto é Doce,41.14662253469337,-8.603535759787949,Café,Food
70,PORTO,Bonfim,41.1483662979302,-8.598389364247119,5053ae2fe4b0c6835efd3d87,Kinela,41.151969,-8.59984,Café,Food
71,PORTO,Bonfim,41.1483662979302,-8.598389364247119,4d830f06d5fab60c538ec49b,Boa Nota,41.15030552698479,-8.594035731529251,Café,Food
72,BRAGA,Braga,41.54550900000005,-8.42137999999997,507d8ddce4b0f7776836bfdf,Bracara Augusta,41.54737587145468,-8.417375920281133,Café,Food
73,BRAGA,Braga,41.549397000000056,-8.421888499999966,4ba50f02f964a52010d738e3,Café A Brasileira,41.55082023058444,-8.423489820032406,Café,Food
74,BRAGA,Braga,41.549397000000056,-8.421888499999966,4e37f57745ddd221469b3bad,Rossio Café,41.54988231792262,-8.427781034962639,Café,Food
75,BRAGA,Braga,41.549397000000056,-8.421888499999966,507d8ddce4b0f7776836bfdf,Bracara Augusta,41.54737587145468,-8.417375920281133,Café,Food
76,BRAGA,Braga,41.55493200000005,-8.420736499999947,4c38521c93db0f47af5c2192,Café Vianna,41.5513605160522,-8.423209672808866,Café,Food
77,BRAGA,Braga,41.55247500000006,-8.414283499999954,4c0452b3310fc9b6572ec761,Chave D'Ouro,41.55081755435502,-8.414794800543724,Café,Food
78,BRAGA,Braga,41.55247500000006,-8.414283499999954,51724d86e4b0eb20d8d66ad2,Canto do Paço,41.5567213449829,-8.413140680394992,Café,Food
79,AVEIRO,Cacia,40.683583965024745,-8.60312131540613,514e257be4b073c93c1f91a0,Bar 7,40.68396135617031,-8.597588685911841,Café,Food
80,PORTO,Campanhã,41.148645146700744,-8.580614818956356,51fce6e0498e6e678ce58b19,Café Nicola,41.14839736552747,-8.586042984648039,Café,Food
81,PORTO,Campanhã,41.148645146700744,-8.580614818956356,4d18a47e401db60cb169f4a4,Café Foguete,41.14941007595415,-8.586438013599818,Café,Food
82,PORTO,Campanhã,41.148645146700744,-8.580614818956356,53c2dbba498ecd1b580667f5,3 Doces,41.1488680786898,-8.586041206638358,Café,Food
83,PORTO,Campanhã,41.148645146700744,-8.580614818956356,4c9389db6b35a14376d612dc,Café Paraná,41.148876367661124,-8.586200443031247,Café,Food
84,PORTO,Campanhã,41.148645146700744,-8.580614818956356,4d0d441ce0b98cfa3acbda93,Cafetaria d'Metro,41.14916470269812,-8.586351279234645,Café,Food
85,LISBOA,Campo de Ourique,38.71581000000003,-9.166919999999948,56f90dcecd10621dfac683ab,Mercearia do campo,38.715769907643484,-9.16309118270874,Café,Food
86,LISBOA,Campo de Ourique,38.71581000000003,-9.166919999999948,4eb41bcaf790d87d0223aa0a,Cafe Pastelaria Cascata,38.715571631611816,-9.169536995058667,Café,Food
87,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,5adb21f6fe374040e7bc7cf0,Vogue Café,41.14766,-8.613133,Café,Food
88,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,4c2760115c5ca59376a247fe,Leitaria da Quinta do Paço,41.147736081368095,-8.614802416645752,Café,Food
89,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,4b6af1a9f964a5201ae82be3,Café Piolho,41.14689603070715,-8.616385409282147,Café,Food
90,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,52582eb911d29219c080e44a,Livraria da Baixa,41.146203,-8.614186,Café,Food
91,BRAGA,"Celeirós, Aveleda e Vimieiro",41.51482800000005,-8.455615999999964,4dc84791b3adb92db38785d2,Pintos Pastelaria,41.51244219962658,-8.45246556174722,Café,Food
92,COIMBRA,Cernache,40.13931756449181,-8.469048512910973,4ef4a213e300e92ba00cf2d0,O Moleirinho,40.13988926531025,-8.468146746500102,Café,Food
93,BRAGA,Espinho,41.54608500000006,-8.362308499999955,5036b822e4b0c09de926e5d0,Café Palha,41.54478507395396,-8.36113315329659,Café,Food
94,BRAGA,Espinho,41.54608500000006,-8.362308499999955,4f307654e4b0a160e6b6c06b,Café Cachada,41.548850573181966,-8.365044344571881,Café,Food
95,LISBOA,Estrela,38.71006800000005,-9.159096499999947,58baa8f66d63257be5977667,Heim Cafe,38.707436009071415,-9.156450323985785,Café,Food
96,LISBOA,Estrela,38.71006800000005,-9.159096499999947,4c4ac599bad7a5931057dcaa,Cristal,38.710060478094455,-9.162490367889404,Café,Food
97,LISBOA,Estrela,38.71006800000005,-9.159096499999947,4b5c87cbf964a520b93429e3,Esplanada do Jardim da Estrela,38.71410400684255,-9.159700870513914,Café,Food
98,LISBOA,Estrela,38.71006800000005,-9.159096499999947,4b9e8b91f964a520aded36e3,Cafetaria O Carrocel,38.7116404146112,-9.164085684427295,Café,Food
99,BRAGA,Gualtar,41.56461176892558,-8.393894746053396,50cb6956e4b0bc9a4d9bd0cd,Between,41.56123681325741,-8.393686296895577,Café,Food
100,BRAGA,Gualtar,41.56461176892558,-8.393894746053396,4db33ec20cb6729b6a7c2145,1/2 de Leite,41.56569654799753,-8.389403478660812,Café,Food
101,LISBOA,Lumiar,38.76411000000007,-9.156999999999925,4e4bbf5ea8097d9c84bf245f,Loja Sical,38.759959367246054,-9.157894238722202,Café,Food
102,LISBOA,Lumiar,38.76411000000007,-9.156999999999925,4d343f5bc6cba35d4cbc317a,Fofinho,38.76255668064067,-9.15405572889626,Café,Food
103,LISBOA,Lumiar,38.76411000000007,-9.156999999999925,4d98cc299079b1f7c256340a,Pastelaria Miranda,38.7652862146572,-9.152644764379147,Café,Food
104,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,57ffb2b9d67c9a12f03d7f8b,Fábrica Coffee Roasters,38.709467232190626,-9.143496544511727,Café,Food
105,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,4d53b32765586ea8fe366ec8,Pastelaria Emenda,38.71068924220651,-9.144493649013896,Café,Food
106,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,4b0d5cddf964a520f34623e3,Kaffeehaus,38.709833420381024,-9.141141861556457,Café,Food
107,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,4b1a9ed6f964a5209ded23e3,Quiosque de Refresco,38.71058544580107,-9.143536454727892,Café,Food
108,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,4e25a1ecb61ceeea677d2bb1,Pastelaria Camões,38.71078677688731,-9.145074917461447,Café,Food
109,BRAGA,Morreira e Trandeiras,41.57064500000007,-8.45261890699993,4cee586582125481eb4864a1,Pastelaria Glicínia,41.571997121447936,-8.45271733489,Café,Food
110,BRAGA,Morreira e Trandeiras,41.57064500000007,-8.45261890699993,4d77838978d5a09334a58072,S. Pedro II,41.569705,-8.450161,Café,Food
111,BRAGA,"Nogueira, Fraião e Lamaçães",41.545238186058405,-8.395290061349126,4c14de42b7b9c928acf0ab37,Vivo O Local,41.543418530809575,-8.394166373498146,Café,Food
112,BRAGA,Nogueiró e Tenões,41.54941858039797,-8.40029222791721,511fb464e4b00c952213af08,Pause Café,41.55289320560522,-8.400295273773722,Café,Food
113,BRAGA,Nogueiró e Tenões,41.54941858039797,-8.40029222791721,4c48124589a6c9b6813c9c88,Pastelaria S. Brás,41.54814223401015,-8.403826902892014,Café,Food
114,BRAGA,Padim da Graça,41.57877116621194,-8.423990404826865,5766fbf9cd10d3f261e62e8a,Mundo do Café Delta,41.578476,-8.42978,Café,Food
115,PORTO,Paranhos,41.170466259138564,-8.603917337757277,4de8d56f227148fcea388e54,Campo Lindo Café,41.169947257994934,-8.608152020826266,Café,Food
116,PORTO,Paranhos,41.170466259138564,-8.603917337757277,4c2ee43f6f1fef3b4c64eb3d,Café Carocha,41.16925037489434,-8.60351428946037,Café,Food
117,PORTO,Paranhos,41.170466259138564,-8.603917337757277,4be930bfa117b713257d81c8,Café Nobre,41.16997100080982,-8.603449878513969,Café,Food
118,LISBOA,Parque das Nações,38.76833000000005,-9.097789999999975,4b72ab8bf964a5200d832de3,Me & You - Coffee House,38.77209923790493,-9.097530880508756,Café,Food
119,LISBOA,Parque das Nações,38.76833000000005,-9.097789999999975,4b41ebc1f964a52038ca25e3,Sfizio Cafe,38.77169959071026,-9.097518200589324,Café,Food
120,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4f571cd7e4b060fb2f8c8e24,Pastelaria Monte Rei,38.73129160713948,-9.135208839966783,Café,Food
121,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4cf66d2871538cfa7e49b52e,Café Esplanada do Miradouro do Monte Agudo,38.726285737182586,-9.131437471531028,Café,Food
122,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,516f114fe4b0afd5130d3cce,Zona Franca dos Anjos,38.72647952920865,-9.13289524237001,Café,Food
123,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4d22fd09f7a9a143d709449f,Pastelaria Lido,38.73325893616713,-9.132626135353378,Café,Food
124,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4dc148bcae60533f34edd991,Flôr do Império,38.732751912138355,-9.130666067380595,Café,Food
125,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4f451684e4b0868b41cb7586,Cafetaria Bandeirantes,38.72723812443555,-9.134878084852323,Café,Food
126,LISBOA,Penha de França,38.73021013040955,-9.132728900475016,4f5f3610e4b0a7555b2bab4b,Esplanada PT Contact,38.72710241042544,-9.136828450385961,Café,Food
127,PORTO,Ramalde,41.16844146753138,-8.647532743064072,4e2fddeca8092ca5c3838d02,Café Lago Azul,41.16656670330849,-8.650087864952454,Café,Food
128,BRAGA,"Real, Dume e Semelhe",41.55756000000005,-8.444077999999962,4e4b8a8cb61c745d8af0911e,Doce Real,41.55991455573041,-8.446335196495056,Café,Food
129,LISBOA,Santa Clara,38.780329952247804,-9.160449999423061,4df0d7c11838e429ae51e867,Bistro Lumiere,38.77600085784477,-9.161460399627686,Café,Food
130,AVEIRO,Santa Joana,40.63486964824252,-8.621727422470718,4ff84139e4b045d12e9ca425,Cafetaria Recanto,40.63692781041292,-8.621277469435231,Café,Food
131,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4bd329279854d13afd05fd4d,Pois Café,38.709488,-9.131935,Café,Food
132,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,593d36d1088158548c281d4d,Pastelaria Santo Antonio,38.71151995650182,-9.132966565304683,Café,Food
133,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,5730b226498e3519c1910216,Boutique Taberna,38.7127345797866,-9.135841107603584,Café,Food
134,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4e64d03b483bd9a97553cc1b,Quiosque Portas do Sol,38.71219641556802,-9.130160042338273,Café,Food
135,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,5230515204939e5ab5c60b66,28 Café,38.713425864168414,-9.132430026862988,Café,Food
136,LISBOA,Santo António,38.753609948929586,-9.143020003895094,4e11c1301838f8ad815df1d4,Café Vá Vá,38.74934910460129,-9.142240821301119,Café,Food
137,COIMBRA,Santo António dos Olivais,40.218000000000075,-8.405989999999974,4d499699782f3704a6f06e37,Pastelaria dos Olivais,40.21505481091964,-8.408492005448078,Café,Food
138,COIMBRA,Santo António dos Olivais,40.218000000000075,-8.405989999999974,4f9bf0ece4b0f1efa7ae02e3,Bar da FEUC,40.21473503153829,-8.409396317753464,Café,Food
139,LISBOA,São Domingos de Benfica,38.74332969187538,-9.183706087232729,4d89be6a401a224b95449218,Pastelaria Arabesco,38.744397884970226,-9.178639695901559,Café,Food
140,LISBOA,São Domingos de Benfica,38.74332969187538,-9.183706087232729,4c9f102654c8a1cd69da934b,Pastelinho de Benfica,38.745122610879385,-9.181005920106223,Café,Food
141,LISBOA,São Domingos de Benfica,38.74332969187538,-9.183706087232729,4eb8e29a6da1df9ffbef5f7b,Celeiro Do Calhariz,38.74676835141012,-9.184728481268598,Café,Food
142,COIMBRA,São Silvestre,40.29212400000006,-8.424988999999954,55d9cd83498e2fe29c4bf638,Café Bizarro,40.289215087890625,-8.424443244934082,Café,Food
143,COIMBRA,Souselas e Botão,40.29212400000006,-8.424988999999954,55d9cd83498e2fe29c4bf638,Café Bizarro,40.289215087890625,-8.424443244934082,Café,Food
144,LISBOA,São Vicente,38.72365503033666,-9.12966982265255,51952f47498e232ed961c8ef,Brick Cafe,38.72486742524193,-9.133124203203737,Café,Food
145,LISBOA,São Vicente,38.72365503033666,-9.12966982265255,4cf66d2871538cfa7e49b52e,Café Esplanada do Miradouro do Monte Agudo,38.726285737182586,-9.131437471531028,Café,Food
146,LISBOA,São Vicente,38.72365503033666,-9.12966982265255,516f114fe4b0afd5130d3cce,Zona Franca dos Anjos,38.72647952920865,-9.13289524237001,Café,Food
147,LISBOA,São Vicente,38.72365503033666,-9.12966982265255,4d90b4d4788c5481ae576afd,Capri,38.72286144044579,-9.13528160763909,Café,Food
148,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4be180d6d816c928d43bf0d9,Café Santa Cruz,40.210822116827416,-8.42905735718842,Café,Food
149,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4f4fbe0ce4b00c3159ae342d,A Brasileira,40.20808915008353,-8.429182876771508,Café,Food
150,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4e8e2bb4775b89b050b98418,A Chaminé,40.211768068012,-8.42881800447007,Café,Food
151,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4d7e0292fb38a090fbaf26f4,Nicola,40.20920351175417,-8.429070536594795,Café,Food
152,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,553e7588498e5b4d021463cb,Café Sé Velha,40.208911211318764,-8.427554912554925,Café,Food
153,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4fb3ba61e4b0422dd50fc130,Bar do Auditório FDUC,40.20726830703033,-8.42712019552056,Café,Food
154,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4bedbd424daaa5938c258f61,Café Montanha,40.20754229665612,-8.429395121661761,Café,Food
155,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,4d3a9fd71fc36dcbe86768f5,Café Couraça,40.20646963650634,-8.425242833270557,Café,Food
156,COIMBRA,"Sé Nova, Santa Cruz, Almedina e São Bartolomeu",40.2088185,-8.429085000000004,549c15ec498ef2810bcdfb4f,Ibis Hotel Café,40.2054144901671,-8.426473192751391,Café,Food
157,BRAGA,Tebosa,41.48330112229655,-8.48158604728574,5b1cda7bdd8442002c509d2f,A Praceta,41.48174,-8.484331,Café,Food
158,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,56321fa4498e07248870a284,Rio Maravilha,38.70179771312238,-9.178076169891579,Portuguese Restaurant,Food
159,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,579a1268498e2319410a2a12,Doc Cod,38.699539378444264,-9.178852256608177,Portuguese Restaurant,Food
160,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4bd987b1e914a59390cb56fa,Cantina LX Factory,38.703227575803325,-9.178895952796973,Portuguese Restaurant,Food
161,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4d21a84c6e8c37043e7404a0,O Lutador,38.701019874262414,-9.181755740029073,Portuguese Restaurant,Food
